album_id,album_name,album_release_date
19,Bieber Fever Tour Life,2024-12-06
20,S.A.M.O.,2025-01-17
18,rosie,2024-12-06
6,Die With A Smile,2024-08-16
21,DEBARAS,2025-01-29
22,Impostor syndrom,2024-11-08
23,Painkillers,2024-11-22
4,Hurry Up Tomorrow,2025-01-31
1,Abracadabra,2025-02-03
24,HIT ME HARD AND SOFT,2024-05-17
25,Y0L0.5,2025-01-24
26,VOJNA,2024-06-07
27,Sailor Song,2024-07-26
28,Iné Plemená,2024-12-12
29,The Secret of Us (Deluxe),2024-10-18
45,MUSE,2024-07-19
46,Vino să te f,2024-12-14
47,Anglia,2024-11-01
48,ANGELINA JOLIE,2025-01-21
49,Mercedes,2024-08-09
50,Meneaito,2024-12-13
51,Baklava,2024-04-15
52,Vreau,2024-10-18
53,"Yali, Yali",2024-08-14
54,Jenifer buci de fier,2023-03-25
55,REGINA,2024-04-12
56,NUMAI FEMEI,2022-06-26
57,"A venit poliția (From ""Candidatul perfect"" The Movie)",2024-10-11
58,Spania,2024-09-27
59,Oh Garota Eu Quero Você Só Pra Mim,2024-12-17
60,DeBÍ TiRAR MáS FOToS,2025-01-05
61,Carta de Alforria,2024-11-08
62,Fui Mlk,2024-11-22
63,Resenha do Arrocha,2024-11-29
64,Penélope Charmosa 2,2024-09-27
65,FIM DO NADA,2025-01-31
66,Do Job,2024-11-11
38,This Wasn't Meant For You Anyway,2024-06-21
67,Barbie,2024-10-18
68,Si Antes Te Hubiera Conocido,2024-06-21
90,Ga Dan!,2025-01-17
91,Waka,2025-01-24
43,I've Tried Everything But Therapy (Part 2),2025-01-24
92,Dirty Cash (Money Talks),2024-11-15
93,Hotel,2025-01-31
94,Blikkendag,2024-09-22
95,Spijt Is Voor Later,2024-12-13
96,Terug In De Tijd,2023-06-02
97,Alleen Met Jou,2024-09-27
98,Still Into You,2024-10-25
99,I Surrender (Remix),2024-12-06
100,SOS,2024-12-05
79,The Days (NOTION Remix),2024-11-08
101,Not Like Us,2024-05-04
102,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),2023-08-18
17,Brat and it’s completely different but also still brat,2024-10-11
103,Fianchetto,2022-01-14
104,En Prise,2024-03-29
105,GNX,2024-11-22
106,Fireworks & Rollerblades,2024-04-05
107,LE NORD SE SOUVIENT,2024-11-21
107,LE NORD SE SOUVIENT,2024-09-13
108,From Zero,2024-11-15
109,APOCALYPSE,2024-11-29
110,Plastika,2024-03-21
111,Tavo akys,2025-01-31
112,Sutemos,2024-05-31
113,Jeigu Žinai Ko Tu Nori,2024-11-03
114,BIANCA (feat. Kid Yugi),2025-01-24
115,LOCURA,2024-11-26
116,Tropico Del Capricorno,2025-01-10
117,Hello World,2024-12-06
118,ALASKA BABY,2024-11-28
119,TUTTA VITA,2024-10-25
120,Mafia Slime 2,2025-01-17
121,Non so chi ha creato il mondo ma so che era innamorato,2024-02-16
122,È FINITA LA PACE,2024-12-13
123,BAMBOLA (feat. Niky Savage),2024-12-13
124,Tu Me Quieres,2024-09-13
125,Gangsta Shit (feat. Simba La Rue),2025-01-17
