genre_id,genre
1,Various
2,EDM
3,Rock
4,Rock/Indie
5,Jazz
6,Pop/Indie
7,Electronic/Rock
8,Indie/Electronic
9,Alternative
10,Pop/Rock
11,Rock/Electronic
12,Electronic
13,Metal
14,Rock/Pop
15,Indie/Alternative
16,Indie/Folk
17,Metal/Hardcore
18,Electronic/Indie
19,Rock/Alternative
20,Electronic/Urban
21,Electronic/Dance
22,Electronic/Alternative
23,Indie
24,Classical/Jazz
25,Pop
26,EDM/Techno
27,Stoner Rock/Metal
28,Dark/Electronic
29,Indie/Rock
30,Folk/Celtic
31,Classical
32,Folk/Acoustic
33,Classical/Opera
34,Fado/Pop
35,Classical/Electronic
36,Folk Metal
37,EDM/Pop
38,Rock/Folk
39,Rock/Jazz
40,Alternative/Indie
41,Rock/EDM
42,Fado/Indie
43,Pop/Jazz
44,Jazz/Electronic
45,Classical/Choral
