spotify_id,date_id,country_id,daily_rank,daily_movement,weekly_movement,popularity
5LG6E6hwx6u84X7hMVkpKp,1,24.0,1,0,0,68
1Qzgt6gOMrwhMlmiBl3jbc,1,24.0,2,0,0,59
4wJ5Qq0jBN4ajy7ouZIV1c,1,24.0,3,0,0,90
2plbrEY59IikOBgBGLjaoe,1,24.0,4,0,1,99
2SdeE22RomGIWq3xZwk7aF,1,24.0,5,0,21,53
2UD4l3evthKlDOM6HSrc9N,1,24.0,6,0,-2,63
3QCRSIRZyCM2JjR4DTiwzF,1,24.0,7,2,1,58
7DY756WOLyOz2Xnhw4EFiC,1,24.0,8,-1,42,80
0FIDCNYYjNvPVimz5icugS,1,24.0,9,-1,41,78
5ZLUm9eab8y3tqQ1OhQSHI,1,24.0,10,0,40,79
6dOtVTDdiauQNBQEDOtlAB,1,24.0,11,0,13,96
6gj6FXx7jZXOOdLX4aNaSK,1,24.0,12,3,-3,63
4oLJGn19J4OWAPC7fV5b5E,1,24.0,13,0,-3,64
37B0CIBlKGtGrLp6PwtuL1,1,24.0,14,-2,-8,49
3AWDeHLc88XogCaCnZQLVI,1,24.0,15,-1,35,84
1P8o6bOTyh1kEqe72JFzzO,1,24.0,16,0,-4,58
2262bWmqomIaJXwCRHr13j,1,24.0,17,0,-1,93
0Bb5TRJzYDMOswry6GKDSr,1,24.0,18,5,1,58
7ne4VBA60CxGM75vw0EYad,1,24.0,19,1,-1,95
4vUqYLKsvAxlrvd9TEmtbw,1,24.0,20,-2,-13,50
7tI8dRuH2Yc6RuoTjxo4dU,1,11.0,1,1,1,89
3AWDeHLc88XogCaCnZQLVI,1,11.0,2,-1,48,84
2AKfAnct7MFEglIueZ7ROM,1,11.0,3,0,-2,60
5sFEhVXljNz3VPW404UHey,1,11.0,4,0,1,59
14NwdA5jpFrLI4LCs2GBtp,1,11.0,5,1,-2,54
7DY756WOLyOz2Xnhw4EFiC,1,11.0,6,-1,44,80
7CzIPuAZjl1K8wYPOOzHyL,1,11.0,7,0,-1,59
4Cy1wIbi2TGoiCBXE9qBID,1,11.0,8,1,-4,59
0FIDCNYYjNvPVimz5icugS,1,11.0,9,-1,41,78
5jDcoEETEDGuFlKhPm6eIq,1,11.0,10,3,9,57
2plbrEY59IikOBgBGLjaoe,1,11.0,11,1,-4,99
6fi9kxR0M6S2chzb2O4YIy,1,11.0,12,-1,4,56
5ZLUm9eab8y3tqQ1OhQSHI,1,11.0,13,1,37,79
