spotify_id,name,is_explicit,artists,album_id
5LG6E6hwx6u84X7hMVkpKp,Pistácie (feat. Sofian Medjmedj),1,"Calin, Sofian Medjmedj",19
1Qzgt6gOMrwhMlmiBl3jbc,Na Očiach Vyryté,0,"Saul, Viktor Sheen",20
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,0,"ROSÉ, Bruno Mars",18
2plbrEY59IikOBgBGLjaoe,Die With A Smile,0,"Lady Gaga, Bruno Mars",6
2SdeE22RomGIWq3xZwk7aF,CELOU NOC 2,1,"Nik Tendo, AstralKid22, Shimmi",21
2UD4l3evthKlDOM6HSrc9N,Cígo a káva (feat. Saul),1,"Viktor Sheen, Saul",22
3QCRSIRZyCM2JjR4DTiwzF,Painkillers,1,"Yzomandias, P T K, Luca Brassi10x, Le Winter",23
7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),1,"The Weeknd, Anitta",4
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),1,"The Weeknd, Playboi Carti",4
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,0,Lady Gaga,1
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,0,Billie Eilish,24
6gj6FXx7jZXOOdLX4aNaSK,Syndrom,0,Viktor Sheen,22
4oLJGn19J4OWAPC7fV5b5E,Vítej mezi náma (feat. STEIN27),1,"Calin, STEIN27",19
37B0CIBlKGtGrLp6PwtuL1,AQUA,1,Shimmi,25
3AWDeHLc88XogCaCnZQLVI,Cry For Me,1,The Weeknd,4
1P8o6bOTyh1kEqe72JFzzO,NENI STRE$S,1,"Pil C, Luca Brassi10x, Separ",26
2262bWmqomIaJXwCRHr13j,Sailor Song,0,Gigi Perez,27
0Bb5TRJzYDMOswry6GKDSr,Iné Plemená,1,"Sara Rikas, Viktor Sheen",28
7ne4VBA60CxGM75vw0EYad,That’s So True,1,Gracie Abrams,29
4vUqYLKsvAxlrvd9TEmtbw,Pre Dni,0,Saul,20
7tI8dRuH2Yc6RuoTjxo4dU,Who,0,Jimin,45
2AKfAnct7MFEglIueZ7ROM,Vino să te f,0,Dani Mocanu,46
5sFEhVXljNz3VPW404UHey,Anglia,0,Dani Mocanu,47
14NwdA5jpFrLI4LCs2GBtp,ANGELINA JOLIE,1,"NOUA UNSPE, Oscar",48
7CzIPuAZjl1K8wYPOOzHyL,Mercedes,0,"Iuly Neamtu, Manele Mentolate",49
4Cy1wIbi2TGoiCBXE9qBID,Meneaito,0,"Tzanca Uraganu, Costel Biju",50
5jDcoEETEDGuFlKhPm6eIq,Baklava,0,"Gya, Babasha",51
6fi9kxR0M6S2chzb2O4YIy,Vreau,0,Sami G,52
4TLyVQPY9Kuwh9ptK9NZBn,"Yali, Yali",0,"Babasha, Ministerul Manelelor",53
40GLYWLoMFhkuoDImEwHm4,Jenifer buci de fier,0,Raihold,54
5yGAxh5wM6di5gmlD79jDY,REGINA,1,NOUA UNSPE,55
3yLZ0xg3XoEwnl773q9Ymc,NUMAI FEMEI,0,Adrian Norocel,56
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,0,Billie Eilish,24
4ltU2MHw7l9Mbr7NhbNjLV,"A venit poliția - From ""Candidatul perfect"" The Movie",0,Theo Rose,57
6YnNRZZH53YVue4gpk7jYQ,Spania,0,Dani Mocanu,58
0BUkQGUXgcvf3gdCWYbtnJ,Oh Garota Eu Quero Você Só Pra Mim,1,"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves",59
3sK8wGT43QFpWrvNQsrQya,DtMF,1,Bad Bunny,60
5lGXgWvY60L80gKGk5Clgc,Interestelar,0,Plutonio,61
4pOGEJRVOuaa9oyy7qTGf6,Fui Mlk,0,"Nilo, Mc Paiva ZS, DJ Di Marques, FamousKyo",62
0NQyryTVbjGMtWMA1eSqIn,Resenha do Arrocha,1,"J. Eskine, Alef Donk",63
6VH6SBNNL2RVWwImq046ce,Penélope Charmosa 2,1,"Boladin 211, Dejinha, MC Rick",64
1kJml4AvYDxIMcJVt7nYlL,Champions League (with Slow J & Gson),0,"Mizzy Miles, Slow J, Gson",65
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,0,Bad Bunny,60
3TnSAp3TfGMYptOqv234uK,Do Job,0,"MC Tuto, Grelo",66
35ISBknsCeZQtq66xABI9g,Messy,1,Lola Young,38
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,1,Bad Bunny,60
6s1kzj4EbhFLXbuAGJbhbn,Barbie,0,"MC Tuto, DJ Glenner",67
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,0,KAROL G,68
7EUmkQTk9tt93C5J746OzL,Estrada (with Slow J & ProfJam),0,"Mizzy Miles, Slow J, ProfJam",65
1XRpRDBpJPjjcj406euOpa,Ga Dan!,0,Roxy Dekker,90
6mkkFCI8p2eR7D5FOjfmzm,Waka,0,"Noano, Emms",91
3BntzKsnLf2pc0dsvE3Zav,Bad Dreams,0,Teddy Swims,43
2VyvDGdcVY04cNYou9MFVX,Dirty Cash (Money Talks),0,"PAWSA, The Adventures Of Stevie V",92
3pN1lUACckD0PTkFzpxEpu,Hotel,0,"Russo, Matthy",93
3HcIbVeDYLg8u2DiqM4zuT,Blikkendag,0,"Sven Versteeg, Likke Pêhp",94
2QwAzwjpruvSZ83t7wlZVD,Spijt Is Voor Later,0,Martin Morero,95
0vrKBjEBQAVn3sdhIXmpHE,Terug In De Tijd,0,Yves Berendse,96
2K7HqkHEUfz7c4BzEO33Qd,Alleen Met Jou,0,"Yves Berendse, Emma Heesters",97
0GYx8Q9iS05CRe9kyzwAIL,Still Into You,0,"CYRIL, maryjo",98
7GDEIrIOGdE5AkQfuk1FA3,I Surrender - Remix,0,"Joshua Robbie, Lange Frans",99
2usgKLp2V6HTqOXh9rlETr,SOS,0,"Kevin, Idaly",100
2FAZskT9yRjp2Oow9szJD8,The Days - NOTION Remix,0,"Chrystal, NOTION",79
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,1,Kendrick Lamar,101
3ZaEs1O8BG581qYPHpQ8d6,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),1,"A$AP Rocky, Imogen Heap, Clams Casino",102
3LWVXp636uLT356Rj08Jaz,Be Mine,0,Jimin,45
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,0,"Charli xcx, Billie Eilish",17
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,0,Billie Eilish,24
3Ah0Zwh5MURTocMQtIgfLm,Itālija,0,"Wiesulis, sangvn",103
15mI8eh3ke97hPb8gZQxyh,Pasarg' dievs,0,"Wiesulis, sangvn",104
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),1,"Kendrick Lamar, Lefty Gunplay",105
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,0,Benson Boone,106
1RiCNSkK4AfT1j8ZM4JnVs,CIEL,0,GIMS,107
0yyFAbTlOk7DFhh6RSug9S,SOIS PAS TIMIDE,0,GIMS,107
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,1,Linkin Park,108
0qlYaRFGvgR6afy1f4BBwD,NANANI NANANA,1,Gazo,109
7bi0RIjwiZ0r6HlW0Lb4eq,Vienas,0,Free Finga,110
1imPa2lzxmLKggLCpkBAoo,Tavo akys,0,Katarsis,111
2p9Jb5GxSdQvCJ7zTBSuXK,1000 Vėtrų,0,Jessica Shy,112
2iYWspPgOWNEDkx7tSzD2Y,Jeigu Žinai Ko Tu Nori,0,Adomas Vyšniauskas,113
7oT03aTBgEAC3MqizjLL71,Tarp Geltonų Rūtų,0,Jessica Shy,112
5GY1DG6DwtqCv7au849YRu,Beržas (feat. Monika Liu),0,"Free Finga, Monika LIU",110
420QMNPnHsbAqkkxBt2ifJ,BIANCA (feat. Kid Yugi),1,"RRARI DAL TACCO, Kid Yugi",114
5MJc4IVIt17xEt6angtZcq,BUIO DAVANTI,1,Lazza,115
6cGhVnQAJRxGVsltCU06vF,Vibe,1,Guè,116
41lOxc6ARYZPXpKeMWcHsD,Islanda,1,Pinguini Tattici Nucleari,117
2L16IuIQgLL1HupWGN4F4t,Ora che non ho più te,0,Cesare Cremonini,118
4X4R6qsIicxIQIFbnDcJLO,Scarabocchi,0,"Olly, JVLI",119
7LjhTVncMxoH9X6KMWECgq,Wop Wop (feat. Shiva),1,"Papa V, Nerissima Serpe, Shiva, Night Skinny, Fritu",120
1QcmAp6Ev2HuYxKujUwnw0,il filo rosso,0,Alfa,121
5nFyfjGy6AMZqkW0OMUWJJ,Per due come noi,0,"Olly, Angelina Mango, JVLI",119
4MtjrbmBKdYRMTyEHqOUmM,GLI SBANDATI HANNO PERSO,1,Marracash,122
62OO2X47vPk5WxTx68HDqg,BAMBOLA (feat. Niky Savage),1,"Artie 5ive, Niky Savage",123
50uGP4Bs22S1iPNn1hTo3R,A Lei,0,"Papa V, Nerissima Serpe, Fritu",120
2DkiFEQ1ihXcYKaIRsfGFp,LEI,1,Marracash,122
00URgxWgyVoybGLhhmKr7g,Tu Me Quieres - Prod. by Higashi x Roberto Ferrante,0,"Baby Gang, Omega, Higashi, Roberto Ferrante",124
5IVog5NE9Ccw4cLrOqXSUG,Gangsta Shit (feat. Simba La Rue),1,"Paky, Simba La Rue",125
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",0,Chappell Roan,131
