spotify_id,danceability,energy,loudness
5LG6E6hwx6u84X7hMVkpKp,0.565,0.487,-10.099
1Qzgt6gOMrwhMlmiBl3jbc,0.714,0.697,-5.817
4wJ5Qq0jBN4ajy7ouZIV1c,0.777,0.783,-4.477
2plbrEY59IikOBgBGLjaoe,0.521,0.592,-7.777
2SdeE22RomGIWq3xZwk7aF,0.655,0.65,-8.151
2UD4l3evthKlDOM6HSrc9N,0.752,0.685,-5.798
3QCRSIRZyCM2JjR4DTiwzF,0.779,0.807,-6.051
7DY756WOLyOz2Xnhw4EFiC,0.538,0.658,-7.273
0FIDCNYYjNvPVimz5icugS,0.768,0.775,-5.06
5ZLUm9eab8y3tqQ1OhQSHI,0.68,0.909,-3.487
6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,-10.171
6gj6FXx7jZXOOdLX4aNaSK,0.826,0.711,-5.649
4oLJGn19J4OWAPC7fV5b5E,0.458,0.879,-5.973
37B0CIBlKGtGrLp6PwtuL1,0.69,0.52,-7.536
3AWDeHLc88XogCaCnZQLVI,0.647,0.645,-6.425
1P8o6bOTyh1kEqe72JFzzO,0.842,0.758,-7.584
2262bWmqomIaJXwCRHr13j,0.494,0.413,-10.432
0Bb5TRJzYDMOswry6GKDSr,0.757,0.514,-8.839
7ne4VBA60CxGM75vw0EYad,0.554,0.808,-4.169
4vUqYLKsvAxlrvd9TEmtbw,0.572,0.581,-8.224
7tI8dRuH2Yc6RuoTjxo4dU,0.66,0.756,-3.743
2AKfAnct7MFEglIueZ7ROM,0.8,0.729,-5.232
5sFEhVXljNz3VPW404UHey,0.805,0.843,-5.145
14NwdA5jpFrLI4LCs2GBtp,0.48,0.518,-5.821
7CzIPuAZjl1K8wYPOOzHyL,0.815,0.865,-4.194
4Cy1wIbi2TGoiCBXE9qBID,0.843,0.633,-9.798
5jDcoEETEDGuFlKhPm6eIq,0.736,0.796,-2.489
6fi9kxR0M6S2chzb2O4YIy,0.748,0.785,-6.817
4TLyVQPY9Kuwh9ptK9NZBn,0.803,0.763,-4.327
40GLYWLoMFhkuoDImEwHm4,0.767,0.809,-5.591
5yGAxh5wM6di5gmlD79jDY,0.771,0.652,-6.218
3yLZ0xg3XoEwnl773q9Ymc,0.735,0.928,-3.802
3QaPy1KgI7nu9FJEQUgn6h,0.467,0.247,-12.002
4ltU2MHw7l9Mbr7NhbNjLV,0.81,0.803,-5.587
6YnNRZZH53YVue4gpk7jYQ,0.888,0.906,-5.386
0BUkQGUXgcvf3gdCWYbtnJ,0.905,0.861,-2.313
3sK8wGT43QFpWrvNQsrQya,0.625,0.131,-27.405
5lGXgWvY60L80gKGk5Clgc,0.676,0.621,-7.055
4pOGEJRVOuaa9oyy7qTGf6,0.635,0.636,-3.72
0NQyryTVbjGMtWMA1eSqIn,0.814,0.727,-2.841
6VH6SBNNL2RVWwImq046ce,0.839,0.64,-5.842
1kJml4AvYDxIMcJVt7nYlL,0.791,0.743,-5.043
5TFD2bmFKGhoCRbX61nXY5,0.142,0.195,-20.024
3TnSAp3TfGMYptOqv234uK,0.924,0.379,-12.101
35ISBknsCeZQtq66xABI9g,0.798,0.562,-5.913
2lTm559tuIvatlT1u0JYG2,0.168,0.00332,-46.113
6s1kzj4EbhFLXbuAGJbhbn,0.955,0.425,-8.242
6WatFBLVB0x077xWeoVc2k,0.924,0.668,-6.795
7EUmkQTk9tt93C5J746OzL,0.698,0.498,-6.852
1XRpRDBpJPjjcj406euOpa,0.716,0.892,-4.391
6mkkFCI8p2eR7D5FOjfmzm,0.825,0.758,-5.42
3BntzKsnLf2pc0dsvE3Zav,0.707,0.68,-6.203
2VyvDGdcVY04cNYou9MFVX,0.783,0.473,-6.493
3pN1lUACckD0PTkFzpxEpu,0.786,0.798,-6.177
3HcIbVeDYLg8u2DiqM4zuT,0.712,0.936,-3.876
2QwAzwjpruvSZ83t7wlZVD,0.565,0.84,-4.591
0vrKBjEBQAVn3sdhIXmpHE,0.65,0.767,-7.688
2K7HqkHEUfz7c4BzEO33Qd,0.694,0.81,-5.338
0GYx8Q9iS05CRe9kyzwAIL,0.955,0.571,-7.045
7GDEIrIOGdE5AkQfuk1FA3,0.872,0.814,-5.419
2usgKLp2V6HTqOXh9rlETr,0.791,0.617,-7.329
2FAZskT9yRjp2Oow9szJD8,0.62,0.843,-5.321
6AI3ezQ4o3HUoP6Dhudph3,0.898,0.472,-7.001
3ZaEs1O8BG581qYPHpQ8d6,0.47,0.652,-9.629
3LWVXp636uLT356Rj08Jaz,0.687,0.747,-5.496
0IsIY8pfu1yaGkPUD7pkDx,0.78,0.713,-4.493
7BRD7x5pt8Lqa1eGYC4dzj,0.7,0.425,-12.531
3Ah0Zwh5MURTocMQtIgfLm,0.915,0.43,-11.321
15mI8eh3ke97hPb8gZQxyh,0.915,0.539,-6.784
0aB0v4027ukVziUGwVGYpG,0.855,0.529,-6.679
3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,-5.692
1RiCNSkK4AfT1j8ZM4JnVs,0.797,0.605,-9.587
0yyFAbTlOk7DFhh6RSug9S,0.917,0.658,-7.253
1EDPVGbyPKJPeGqATwXZvN,0.466,0.872,-3.344
0qlYaRFGvgR6afy1f4BBwD,0.638,0.423,-11.952
7bi0RIjwiZ0r6HlW0Lb4eq,0.687,0.688,-8.163
1imPa2lzxmLKggLCpkBAoo,0.507,0.759,-4.948
2p9Jb5GxSdQvCJ7zTBSuXK,0.827,0.694,-6.477
2iYWspPgOWNEDkx7tSzD2Y,0.707,0.714,-9.009
7oT03aTBgEAC3MqizjLL71,0.76,0.74,-5.912
5GY1DG6DwtqCv7au849YRu,0.802,0.432,-9.566
420QMNPnHsbAqkkxBt2ifJ,0.852,0.711,-3.082
5MJc4IVIt17xEt6angtZcq,0.704,0.738,-5.813
6cGhVnQAJRxGVsltCU06vF,0.844,0.629,-5.822
41lOxc6ARYZPXpKeMWcHsD,0.595,0.761,-4.619
2L16IuIQgLL1HupWGN4F4t,0.739,0.577,-7.001
4X4R6qsIicxIQIFbnDcJLO,0.369,0.505,-8.783
7LjhTVncMxoH9X6KMWECgq,0.6,0.664,-5.155
1QcmAp6Ev2HuYxKujUwnw0,0.496,0.65,-6.109
5nFyfjGy6AMZqkW0OMUWJJ,0.584,0.616,-6.663
4MtjrbmBKdYRMTyEHqOUmM,0.78,0.768,-4.869
62OO2X47vPk5WxTx68HDqg,0.645,0.554,-8.901
50uGP4Bs22S1iPNn1hTo3R,0.63,0.577,-5.658
2DkiFEQ1ihXcYKaIRsfGFp,0.616,0.695,-6.953
00URgxWgyVoybGLhhmKr7g,0.774,0.698,-9.516
5IVog5NE9Ccw4cLrOqXSUG,0.639,0.69,-5.225
0WbMK4wrZ1wFSty9F7FCgu,0.7,0.582,-5.96
6393yGahSJ9slVdOwSxOVR,0.61,0.65,-6.199
5G2f63n7IPVPPjfNIGih7Q,0.674,0.907,-4.086
51rfRCiUSvxXlCSCfIztBy,0.53,0.406,-7.507
1eTaznNW4Xxtx9za2SMTXB,0.825,0.644,-3.24
2zOmS55knKWSgScYPTNmGQ,0.863,0.804,-3.685
3j6CeoBBlm40Msn1JE1SPD,0.742,0.757,-4.981
2HRqTpkrJO5ggZyyK6NPWz,0.699,0.776,-5.282
4KULAymBBJcPRpk1yO4dOG,0.429,0.453,-7.746
0mflMxspEfB0VbI1kyLiAv,0.664,0.5,-6.935
17WGfCmpgardtW5rRbaE7T,0.739,0.85,-2.745
6jIOiFrWhqvDGzwONFKl3j,0.913,0.573,-3.479
3u582Ft7ws5CvUxCsBHxwT,0.806,0.866,-4.404
3mZBqTbxSpyY5cZfbj5reu,0.649,0.701,-4.702
5v1qS9RS2g42zeXHevEdYn,0.923,0.762,-4.36
52kBWybNy033009vfeYu5n,0.712,0.451,-10.698
1105P9BDFQ4GZj7VS5vDuY,0.825,0.767,-5.013
1tI1LGUz4fZg8es7toVK6K,0.871,0.87,-4.091
2lQkm39mnvJWhEABSRduHx,0.891,0.698,-6.507
6DmpM21b070AdtXm7Lc370,0.803,0.844,-5.375
6dd2fGbktU3zOHHWK58nto,0.899,0.738,-5.318
2zIijzos3rNY6DkvX2ZYDX,0.812,0.598,-10.769
49Nl81fFdiJEVLhhhaDLqC,0.745,0.638,-6.407
5DfPEPrd3BoWL0NnwPlpTw,0.654,0.486,-7.504
51Tml3ct9q8cSQsegHWpdt,0.776,0.861,-7.243
6R2utRyFhiEBnyz6afQ9Pe,0.775,0.737,-6.426
7r0sYhhoM4hjeuCDlbCobZ,0.872,0.645,-6.897
6pLi4EGcJvdOWBBQ9fDV0e,0.776,0.595,-3.352
3aEHpJUXI2fs7qq6AV50UN,0.48,0.272,-11.579
5sevJDfYQG35a414MpthiM,0.669,0.792,-7.956
3Q3e0KMeCinQONCLJyO69X,0.713,0.595,-7.914
2aE2SRm4QraCuDBNnBsRIz,0.495,0.535,-6.225
539dzbXamyNpK1LA9LMWdW,0.612,0.644,-6.559
0ZUi3ZpCWC1DQnwW3bcFmH,0.743,0.582,-7.112
2acUYxCZbgndtm70LgCCbS,0.391,0.458,-9.436
0EwKlAawFATYjR7Od5ps6k,0.716,0.658,-6.556
5ZirPH2NK1tcghUP3tW8fa,0.801,0.904,-6.447
4f4x3kOLWIEn274ynz5Fh4,0.697,0.624,-6.877
37netkV0ymoeRg5qmwtmwW,0.807,0.642,-7.032
4cevw8iIIMDXzI0XIEnCpv,0.488,0.649,-8.345
2G7lPxGsVuwaO8uzQmw1BL,0.839,0.701,-4.653
7dzuYJwwtNnfcptmbD58aJ,0.498,0.734,-7.257
1y7dY7Xu4nWM4SK2dEnoAT,0.89,0.561,-6.908
1Mzg6bu3hkCwJKEf7v49MN,0.489,0.586,-7.218
